x,y,region2,region1,SIG_CD
127.4418897,35.4225448,남원시,전북,45190
126.8948857,35.80671644,김제시,전북,45210
127.2151146,35.91861444,완주군,전북,45710
127.4300354,35.82880745,진안군,전북,45720
127.7129531,35.93936736,무주군,전북,45730
127.5442641,35.65746098,장수군,전북,45740
127.2366472,35.59820204,임실군,전북,45750
127.090087,35.4336343,순창군,전북,45770
126.6160462,35.44816757,고창군,전북,45790
126.6443774,35.6779229,부안군,전북,45800
126.3918353,34.80376416,목포시,전남,46110
127.6532031,34.69617175,여수시,전남,46130
127.3891627,34.99474506,순천시,전남,46150
126.7204103,34.9885894,나주시,전남,46170
127.6550735,35.0219785,광양시,전남,46230
126.9952909,35.2914951,담양군,전남,46710
127.2635825,35.21661355,곡성군,전남,46720
127.5031193,35.23676622,구례군,전남,46730
127.3146205,34.59848495,고흥군,전남,46770
127.1621214,34.8143749,보성군,전남,46780
127.0334335,35.00818573,화순군,전남,46790
126.9215323,34.67653701,장흥군,전남,46800
126.7721517,34.62046495,강진군,전남,46810
126.5217898,34.5458247,해남군,전남,46820
126.6306945,34.79956672,영암군,전남,46830
126.4259079,34.95320449,무안군,전남,46840
126.5356041,35.11267054,함평군,전남,46860
126.4531293,35.27848603,영광군,전남,46870
126.7684949,35.32956437,장성군,전남,46880
126.7768069,34.29557933,완도군,전남,46890
126.2150578,34.43939638,진도군,전남,46900
126.048907,34.81240654,신안군,전남,46910
129.4376545,35.95813526,포항시 남구,경북,47111
129.234009,36.16507327,포항시 북구,경북,47113
129.2359296,35.8266428,경주시,경북,47130
128.0777075,36.06042386,김천시,경북,47150
128.7800427,36.58024221,안동시,경북,47170
128.3555555,36.20730964,구미시,경북,47190
128.5976826,36.8704754,영주시,경북,47210
128.942624,36.01577844,영천시,경북,47230
128.067007,36.42950234,상주시,경북,47250
128.1486082,36.69079151,문경시,경북,47280
128.8090552,35.83406007,경산시,경북,47290
128.6482246,36.17011208,군위군,대구,47720
128.6150673,36.36204451,의성군,경북,47730
129.0573852,36.35697643,청송군,경북,47750
129.1450305,36.69638883,영양군,경북,47760
129.3173762,36.48238769,영덕군,경북,47770
128.786527,35.67297478,청도군,경북,47820
128.3067337,35.73719712,고령군,경북,47830
128.2333931,35.90722342,성주군,경북,47840
128.4625838,36.01551131,칠곡군,경북,47850
128.422384,36.65384527,예천군,경북,47900
128.9129004,36.93414016,봉화군,경북,47920
129.3123186,36.90391313,울진군,경북,47930
130.864243,37.50194192,울릉군,경북,47940
128.6495884,35.30894896,창원시 의창구,경남,48121
128.6721044,35.19618568,창원시 성산구,경남,48123
128.4852558,35.13545806,창원시 마산합포구,경남,48125
128.5364332,35.23222659,창원시 마산회원구,경남,48127
128.7363008,35.12994945,창원시 진해구,경남,48129
128.1298011,35.20515765,진주시,경남,48170
128.3740775,34.82932843,통영시,경남,48220
128.0376963,35.04970341,사천시,경남,48240
128.8452158,35.27215642,김해시,경남,48250
128.7896015,35.4984997,밀양시,경남,48270
128.6231395,34.8704352,거제시,경남,48310
129.0410414,35.40188821,양산시,경남,48330
128.2770578,35.39243102,의령군,경남,48720
128.4308769,35.29100281,함안군,경남,48730
128.4930519,35.50822773,창녕군,경남,48740
128.2906632,35.01630447,고성군,경남,48820
127.9411405,34.81829098,남해군,경남,48840
127.779049,35.13830463,하동군,경남,48850
127.8843379,35.36859736,산청군,경남,48860
127.7220411,35.55160171,함양군,경남,48870
127.9041696,35.73255219,거창군,경남,48880
128.1415437,35.57657745,합천군,경남,48890
126.5292476,33.44220188,제주시,제주,50110
126.5810857,33.32504027,서귀포시,제주,50130
