"","region1","region2","region","cases","week","year","x","y","SIG_CD"
"103","강원","고성군","강원-고성군",0,10,2025,128.4111555,38.36275363,42820
"104","강원","고성군","강원-고성군",0,11,2025,128.4111555,38.36275363,42820
"105","강원","고성군","강원-고성군",0,16,2025,128.4111555,38.36275363,42820
"106","강원","고성군","강원-고성군",0,17,2025,128.4111555,38.36275363,42820
"107","강원","고성군","강원-고성군",0,18,2025,128.4111555,38.36275363,42820
"108","강원","고성군","강원-고성군",0,19,2025,128.4111555,38.36275363,42820
"109","강원","고성군","강원-고성군",1,20,2025,128.4111555,38.36275363,42820
"110","강원","고성군","강원-고성군",0,21,2025,128.4111555,38.36275363,42820
"111","강원","고성군","강원-고성군",0,22,2025,128.4111555,38.36275363,42820
"112","강원","고성군","강원-고성군",0,23,2025,128.4111555,38.36275363,42820
"113","강원","고성군","강원-고성군",0,24,2025,128.4111555,38.36275363,42820
"114","강원","고성군","강원-고성군",0,25,2025,128.4111555,38.36275363,42820
"115","강원","고성군","강원-고성군",0,26,2025,128.4111555,38.36275363,42820
"116","강원","고성군","강원-고성군",0,14,2025,128.4111555,38.36275363,42820
"117","강원","고성군","강원-고성군",0,15,2025,128.4111555,38.36275363,42820
"118","강원","고성군","강원-고성군",0,42,2025,128.4111555,38.36275363,42820
"119","강원","고성군","강원-고성군",0,43,2025,128.4111555,38.36275363,42820
"120","강원","고성군","강원-고성군",0,44,2025,128.4111555,38.36275363,42820
"121","강원","고성군","강원-고성군",0,45,2025,128.4111555,38.36275363,42820
"122","강원","고성군","강원-고성군",0,40,2024,128.4111555,38.36275363,42820
"123","강원","고성군","강원-고성군",0,41,2024,128.4111555,38.36275363,42820
"124","강원","고성군","강원-고성군",0,42,2024,128.4111555,38.36275363,42820
"125","강원","고성군","강원-고성군",1,43,2024,128.4111555,38.36275363,42820
"126","강원","고성군","강원-고성군",7,44,2024,128.4111555,38.36275363,42820
"127","강원","고성군","강원-고성군",0,45,2024,128.4111555,38.36275363,42820
"128","강원","고성군","강원-고성군",2,46,2024,128.4111555,38.36275363,42820
"129","강원","고성군","강원-고성군",0,47,2024,128.4111555,38.36275363,42820
"130","강원","고성군","강원-고성군",0,48,2024,128.4111555,38.36275363,42820
"131","강원","고성군","강원-고성군",0,49,2024,128.4111555,38.36275363,42820
"132","강원","고성군","강원-고성군",1,50,2024,128.4111555,38.36275363,42820
"133","강원","고성군","강원-고성군",0,51,2024,128.4111555,38.36275363,42820
"134","강원","고성군","강원-고성군",1,52,2024,128.4111555,38.36275363,42820
"135","강원","고성군","강원-고성군",0,12,2024,128.4111555,38.36275363,42820
"136","강원","고성군","강원-고성군",0,13,2024,128.4111555,38.36275363,42820
"137","강원","고성군","강원-고성군",0,14,2024,128.4111555,38.36275363,42820
"138","강원","고성군","강원-고성군",0,15,2024,128.4111555,38.36275363,42820
"139","강원","고성군","강원-고성군",0,16,2024,128.4111555,38.36275363,42820
"140","강원","고성군","강원-고성군",0,17,2024,128.4111555,38.36275363,42820
"141","강원","고성군","강원-고성군",0,18,2024,128.4111555,38.36275363,42820
"142","강원","고성군","강원-고성군",0,19,2024,128.4111555,38.36275363,42820
"143","강원","고성군","강원-고성군",0,27,2025,128.4111555,38.36275363,42820
"144","강원","고성군","강원-고성군",0,28,2025,128.4111555,38.36275363,42820
"145","강원","고성군","강원-고성군",0,29,2025,128.4111555,38.36275363,42820
"146","강원","고성군","강원-고성군",0,30,2025,128.4111555,38.36275363,42820
"147","강원","고성군","강원-고성군",0,31,2025,128.4111555,38.36275363,42820
"148","강원","고성군","강원-고성군",0,32,2025,128.4111555,38.36275363,42820
"149","강원","고성군","강원-고성군",0,33,2025,128.4111555,38.36275363,42820
"150","강원","고성군","강원-고성군",0,34,2025,128.4111555,38.36275363,42820
"151","강원","고성군","강원-고성군",0,35,2025,128.4111555,38.36275363,42820
"152","강원","고성군","강원-고성군",0,36,2025,128.4111555,38.36275363,42820
"153","강원","고성군","강원-고성군",1,37,2025,128.4111555,38.36275363,42820
"154","강원","고성군","강원-고성군",0,38,2025,128.4111555,38.36275363,42820
"155","강원","고성군","강원-고성군",0,39,2025,128.4111555,38.36275363,42820
"156","강원","고성군","강원-고성군",0,40,2025,128.4111555,38.36275363,42820
"157","강원","고성군","강원-고성군",0,41,2025,128.4111555,38.36275363,42820
"158","강원","고성군","강원-고성군",0,1,2025,128.4111555,38.36275363,42820
"159","강원","고성군","강원-고성군",0,2,2025,128.4111555,38.36275363,42820
"160","강원","고성군","강원-고성군",0,3,2025,128.4111555,38.36275363,42820
"161","강원","고성군","강원-고성군",1,4,2025,128.4111555,38.36275363,42820
"162","강원","고성군","강원-고성군",0,5,2025,128.4111555,38.36275363,42820
"163","강원","고성군","강원-고성군",1,6,2025,128.4111555,38.36275363,42820
"164","강원","고성군","강원-고성군",0,1,2024,128.4111555,38.36275363,42820
"165","강원","고성군","강원-고성군",0,2,2024,128.4111555,38.36275363,42820
"166","강원","고성군","강원-고성군",0,3,2024,128.4111555,38.36275363,42820
"167","강원","고성군","강원-고성군",0,4,2024,128.4111555,38.36275363,42820
"168","강원","고성군","강원-고성군",0,5,2024,128.4111555,38.36275363,42820
