"","region","S0","Sfinal","I0","rho"
"85","경북-청송군",0.142480477493213,821.761015327672,6.12922488875694e-05,0.00277594115822131
"86","경북-칠곡군",0.178820585007339,2550.688388933,5.69856971511504e-05,0.00467859607330867
"87","경북-포항시 남구",0.156952618564662,7155.20597643614,0.000103457572772486,0.00748316924755623
"88","경북-포항시 북구",0.138144875106249,11657.6089626791,0.000180461286223183,0.00343554487127599
"89","광주-광산구",0.130887398725412,17044.6495704643,0.000127030599362025,0.00918955874907928
"90","광주-남구",0.133607868434573,9874.11129504993,0.000284800080602979,0.00843102521203059
"91","광주-동구",0.11461170707576,5793.38872117845,0.000252800230035717,0.00531577099914847
"92","광주-북구",0.13114103752372,19951.1178844813,0.000259439810390886,0.00923650906412109
"93","광주-서구",0.144544033233042,10869.8261471202,0.000149736079318336,0.00506833019680223
"94","대구-군위군",0.100258617467519,1870.30179807362,3.77919011835955e-05,0.0260508649278471
"95","대구-남구",0.154186338590813,3797.24900385505,2.67542758313285e-05,0.00548255853835063
"96","대구-북구",0.142106444147729,14451.4503423102,5.68188990256509e-05,0.00515240146832803
"97","대구-서구",0.174746655344585,3021.35112210794,1.07324048300423e-05,0.00469002613223496
"98","대구-중구",0.145357737210917,3324.47962429824,4.70395031040061e-05,0.00531277943171013
"99","대전-대덕구",0.143468247949419,6454.20518582095,0.000136814741241714,0.00569255809337638
"100","대전-동구",0.153048802901361,6520.89960716103,6.0628702901949e-05,0.00605824703507316
"101","대전-유성구",0.156970039504242,12010.8148821025,0.000101253699212673,0.00731698026216366
"102","대전-중구",0.192601858796528,6484.06325235785,7.45415569193952e-05,0.00415853180651079
"103","부산-강서구",0.143105577737452,5113.3859243712,5.21339173708941e-05,0.0191588824970146
"104","부산-금정구",0.140975798589106,7464.56063669545,4.78592386539068e-05,0.00700438276455669
"105","부산-기장군",0.150388795828628,5282.08266920114,5.00124628761843e-05,0.00704951949424572
"106","부산-남구",0.14320704991123,9089.54892035739,9.46137118497113e-05,0.00509563458041157
"107","부산-동구",0.134726115754212,3390.627573205,7.03885822106764e-05,0.0045482073789753
"108","부산-동래구",0.151872693964853,8281.87145914221,6.1220712153468e-05,0.00897579094630476
"109","부산-북구",0.154755658914523,7349.59020702821,2.32107844777641e-05,0.00233314274594614
"110","부산-사상구",0.154339300810792,5416.54888703374,3.86891011306966e-05,0.00822385802565751
"111","부산-서구",0.119285629690422,5374.42383652044,0.000473565340665872,0.0144346825527068
"112","부산-수영구",0.158257030362008,5154.92366458394,8.20478427922247e-05,0.00658937596527126
"113","부산-연제구",0.148862232905951,6654.06938995317,5.9602362925895e-05,0.00459373237777363
"114","부산-영도구",0.130335413482899,4457.55600159986,0.000103654937381668,0.0168253735762726
"115","부산-중구",0.157609849002207,1337.62831735524,0.000137301715260147,0.00516387270422337
"116","부산-해운대구",0.157673027373672,10835.2907057755,6.91383334095417e-05,0.00783204078349678
"117","서울-강동구",0.15278674255495,14660.402807765,5.48594479644593e-05,0.00396355503183955
"118","서울-강북구",0.163700361695253,7973.81210062142,7.44931136382892e-05,0.004172407467007
"119","서울-관악구",0.156945985272759,12848.0633419891,4.39231317524482e-05,0.00210360284561072
"120","서울-광진구",0.132027749685382,15934.9351967087,0.000289437244450372,0.00347344224605216
"121","서울-구로구",0.145187716455778,16695.2401831837,0.000223306191136713,0.00945903447444712
"122","서울-금천구",0.174357175205565,6473.85930197646,8.22652643334974e-05,0.00288987353132015
"123","서울-도봉구",0.143537066929398,13403.556652912,0.000249295789128879,0.00547032019415431
"124","서울-동대문구",0.17129387225195,9387.99047198393,7.15355642113882e-05,0.00423115650342927
"125","서울-동작구",0.163659143039239,8965.2444351863,3.9886510510758e-05,0.00258978841421168
"126","서울-마포구",0.159350807117818,10916.0960560014,8.42971257547038e-05,0.00413014570754586
"127","서울-서대문구",0.155521899821534,9447.22000399888,8.58101535293358e-05,0.00382707868747018
"128","서울-성동구",0.164685096226569,6858.63512660621,5.05580320074027e-05,0.00370888964374883
"129","서울-성북구",0.162402273107699,12451.3497953719,7.97513820900782e-05,0.00285491482835266
"130","서울-영등포구",0.157500791897197,10032.4459334349,4.81626282851322e-05,0.00370613918546936
"131","서울-용산구",0.165813648501211,4540.61248236424,3.10239344316893e-05,0.00313424574225966
"132","서울-은평구",0.162984443823866,14079.7093093485,9.10745872405177e-05,0.0058214901859396
"133","서울-종로구",0.197756430835199,3729.75517184646,6.50473880397085e-05,0.00123501550664775
"134","서울-중구",0.150927820375731,3512.2574697926,4.21766299872588e-05,0.00229981046817689
"135","서울-중랑구",0.201260481764615,12143.62620313,8.64296017905358e-05,0.00592995991908514
"136","울산-남구",0.156042121714674,9921.32846745222,7.7635184781256e-06,0.00703593187787109
"137","울산-동구",0.17169310011332,2942.8069703088,1.28822981993118e-05,0.00356098947462719
"138","울산-북구",0.138176146607839,8272.8030257627,4.33571675682455e-05,0.00569883472076325
"139","울산-울주군",0.159051747681689,5516.70740948312,2.42744136558858e-05,0.00840625482953202
"140","울산-중구",0.141398316253988,7481.60610361487,3.2680919206176e-05,0.00381069108391184
"141","인천-강화군",0.192972466465584,1865.59276862599,6.5914161682069e-05,0.00734155311829853
"142","인천-계양구",0.124446826499699,14186.2248809593,0.000390374190054161,0.0174904532917397
"143","인천-남동구",0.158502221976047,14767.965990796,8.52044023053392e-05,0.006342325361211
"144","인천-동구",0.123671115900647,2911.25729186429,0.000429238032038649,0.0215930337982147
"145","인천-옹진군",0.159266483715429,492.782075315241,2.56577919797983e-05,0.00416811432019172
"146","인천-중구",0.159910519108384,7469.81508585924,0.000253318910111083,0.0170342961046042
"147","전남-강진군",0.143471473978988,1086.16251259949,4.81602301475471e-05,0.00375847641084553
"148","전남-고흥군",0.148810140298945,2208.33458541372,1.01383600505503e-05,0.00347747162074311
"149","전남-곡성군",0.143637187142673,976.424377705917,2.16490667417327e-05,0.0060160637832924
