"","region","R0","I0","rho"
"143","인천-남동구",16.7797666600443,8.3338848245581e-05,0.00659721503250487
"144","인천-동구",14.4002510371836,0.000400353691802517,0.0158331615605769
"145","인천-옹진군",16.9250836416995,2.43494300294606e-05,0.00434275499313384
"146","인천-중구",16.9503237568383,0.000244866330537289,0.017850307412771
"147","전남-강진군",15.9351784517717,3.69026671803151e-05,0.00335743957470363
"148","전남-고흥군",16.2991089068557,7.26047220576192e-06,0.00330968954306255
"149","전남-곡성군",15.9820240172293,1.41174879543637e-05,0.00540905554655465
"150","전남-광양시",12.5519096826836,0.000360699285739402,0.0119012582172378
"151","전남-구례군",17.3296902670107,0.000133233679189398,0.00177631826845637
"152","전남-나주시",16.2117203076947,3.30732531083985e-05,0.0036461753794226
"153","전남-담양군",18.6771854287851,3.18597350850535e-06,0.00715926963869354
"154","전남-목포시",16.0133411779286,6.9564574969128e-05,0.00928007865195966
"155","전남-무안군",15.7188045991615,8.35357737368352e-05,0.0106130952369096
"156","전남-보성군",19.3871747180353,1.25563129010534e-05,0.00860301911636658
"157","전남-순천시",16.5109392335063,3.46080201333628e-05,0.00724190260445605
"158","전남-신안군",16.7807698577556,9.9686279269404e-05,0.00212657925386823
"159","전남-영광군",16.0607912213144,2.27103108317142e-05,0.00493478898079718
"160","전남-영암군",17.1462304300594,0.000348511296354576,0.010291363038535
"161","전남-완도군",28.5979590659972,4.51132714285317e-07,0.0494267039063039
"162","전남-장성군",18.2385646043652,3.06766482353332e-05,0.00312858795816149
"163","전남-장흥군",18.5373765174405,1.08649482026661e-05,0.0113379422957892
"164","전남-진도군",18.4805570159289,2.64118090003819e-05,0.00709191956514236
"165","전남-함평군",16.7910012329584,5.52528513973305e-05,0.00187843270114359
"166","전남-해남군",17.550453843718,3.69487395262197e-05,0.00773069402320393
"167","전남-화순군",12.0584777122915,0.000311812392719378,0.0262357956503118
"168","전북-고창군",17.1528828988634,8.3459386881542e-06,0.000782429574253156
"169","전북-김제시",15.6992242356491,4.19299726255625e-05,0.00786722040466977
"170","전북-남원시",16.8366340254938,1.09216075714963e-05,0.00298158619965871
"171","전북-무주군",16.9444739736241,3.2505712029459e-05,4.79468239675465e-05
"172","전북-부안군",15.4977448217098,1.37509885791151e-05,0.00206944060675448
"173","전북-순창군",18.549051573135,7.54550465057726e-06,0.00220447357132409
"174","전북-완주군",14.8211005746539,0.000145705049219327,0.00465845719122851
"175","전북-임실군",16.7322825789678,0.000121452726444568,0.00167104070998174
"176","전북-장수군",16.8304130788452,7.37325853642913e-05,0.00158103005322309
"177","전북-전주시 덕진구",16.066999546323,0.000179802471350634,0.00349945130647791
"178","전북-전주시 완산구",16.8686707191129,8.01571890117881e-05,0.00397586994927973
"179","전북-정읍시",13.5974266940171,4.43193063445237e-05,0.00428148361014265
"180","전북-진안군",16.2733829384005,0.000124058338436411,0.000696546196377167
"181","제주-서귀포시",15.4077650640028,0.000122504980138428,0.00541958354047178
"182","충남-계룡시",13.4664218919319,9.6372178828104e-05,0.00952661921863195
"183","충남-공주시",15.9543369792279,1.94016691629332e-05,0.000995275101352263
"184","충남-금산군",16.9034647474277,9.83679917868123e-06,0.00292416773710082
"185","충남-논산시",16.5448652807392,0.000213267577056131,0.00400837276429213
"186","충남-당진시",13.8673820216444,0.000346047037725509,0.00620939725843687
"187","충남-보령시",16.6100003467377,2.79695431956125e-05,0.00119708563243032
"188","충남-부여군",16.7221931257085,3.04542261198841e-05,0.00106830923960608
"189","충남-서산시",20.8890159425136,2.67178827683366e-06,0.0154611696321995
"190","충남-서천군",18.1240073650886,1.28523572165363e-05,0.0034493099269509
"191","충남-아산시",16.5460056684006,8.41873819489214e-05,0.00878575241851741
"192","충남-예산군",15.7102774843031,7.65975335138806e-05,0.00757568132259121
"193","충남-천안시 동남구",17.0481833902782,1.26950207710114e-05,0.00599440419136281
"194","충남-청양군",16.1447370836811,0.000114033882970016,0.000883991335520829
"195","충남-태안군",17.2617010138982,1.09023517014969e-05,0.00572314752401729
"196","충남-홍성군",15.6636446085856,4.18218084263378e-05,0.00759122737463851
"197","충북-괴산군",20.3114548492209,1.13078932111823e-05,0.0110850394533594
"198","충북-단양군",17.744847060166,0.000181498745430024,0.00223836219331914
"199","충북-보은군",17.0331859182061,0.000150428990960321,0.00339168880652923
"200","충북-영동군",16.966804314052,5.86457125286746e-05,0.000743503480670689
"201","충북-옥천군",16.1429825633767,0.000184064861610826,0.000356381070776715
"202","충북-음성군",16.3205449192736,0.000262364654618492,0.00294369070782234
"203","충북-제천시",15.9119817838504,0.000116313948602027,0.00248015194780001
"204","충북-증평군",18.0567672971807,4.67952320671813e-05,0.00432394205036757
"205","충북-진천군",16.0182021145402,0.000279001101941607,0.0038796268465006
"206","충북-청주시 상당구",16.9263087396726,0.000126888216418034,0.0051230886656582
"207","충북-청주시 서원구",14.8902998738796,0.000255182249020048,0.00558442086059031
"208","충북-청주시 청원구",12.0769523411042,0.000460433175752316,0.0155180290848694
"209","충북-청주시 흥덕구",13.7072526542581,0.000210024858826461,0.00451352788874613
"210","충북-충주시",14.8644618950993,4.0918250309269e-05,0.00368518972325425
